code_commune,libelle_commune,menages_motorises,menages_total,taux_motorisation
02740,Thenailles,94.8472700087713,103.802612986188,91.37271912547298
65010,Angos,93.2055398379729,98.0464200517715,95.06266499965784
03037,Braize,113.49392793121169,118.247915084195,95.97964399659956
65456,Uglas,128.0,132.0,96.96969696969695
03244,Saint-Marcel-en-Marcillat,59.6691729323308,65.4436090225564,91.17647058823523
88291,Martinvelle,60.75,66.375,91.52542372881356
47148,Leyritz-Moncassin,86.0,90.0,95.55555555555556
10352,Sainte-Maure,741.133879378306,763.011670970849,97.13270551095164
51196,Cramant,371.294025899549,398.987812242718,93.05898939932484
02486,Missy-lès-Pierrepont,39.6261682242991,42.5981308411215,93.02325581395355
89203,Island,85.0,89.0,95.50561797752808
22180,Plélan-le-Petit,761.689803450747,816.260402443291,93.3145600559332
31029,Aurin,126.3318081122575,137.303002803282,92.00950127307614
07340,Veyras,661.422382711112,687.730031442306,96.17471281921168
62550,Marconnelle,440.585231525657,500.334049722835,88.05821466072987
42240,Saint-Jean-Soleymieux,339.7350382416949,359.577669272642,94.48168428504334
59333,Larouillies,93.6433927720498,106.615289587814,87.83298637004604
51246,Favresse,84.9392523364487,89.032710280374,95.40229885057464
87159,Saint-Léger-la-Montagne,159.61573174436938,170.073843758823,93.85084044476352
90062,Larivière,106.089786205076,109.179782451197,97.16980911964885
74276,Taninges,1438.0,1546.0,93.01423027166882
60529,Rémécourt,27.0,28.0,96.42857142857144
